year,solar,solar_cumsum,wind,wind_cumsum,wind_solar_cumsum
2006,89.0,89.0,3200.0,12680.0,12769.0
2007,169.0,258.0,15000.0,27680.0,27938.0
2008,1417.0,1676.0,0.0,27680.0,29356.0
2009,3029.0,4705.0,33000.0,60680.0,65385.0
2010,1026.0,5731.0,10750.0,71430.0,77161.0
2011,485.0,6216.0,0.0,71430.0,77646.0
2012,2794.0,9010.0,15000.0,86430.0,95440.0
2013,5562.0,14572.0,10810.0,97240.0,111812.0
2014,37398.0,51970.0,14000.0,111240.0,163210.0
2015,22311.0,74280.0,93000.0,204240.0,278520.0
2016,15315.0,89595.0,21000.0,225240.0,314835.0
2017,31845.0,121441.0,32000.0,257240.0,378681.0
2018,41657.0,163098.0,0.0,257240.0,420338.0
2019,105040.0,268138.0,0.0,257240.0,525378.0
2020,106759.0,374897.0,28200.0,285440.0,660337.0
2021,108353.0,483250.0,0.0,285440.0,768690.0
2022,25837.0,509087.0,0.0,285440.0,794527.0
